product_code,catalog_page,collection,image,occurrences
ESSU-004,7,Silicone Utensils,images/p011_02.jpg,2
ESSU-005,7,Silicone Utensils,images/p011_03.jpg,2
ESSU-004,7,Silicone Utensils,images/p011_06.jpg,2
ESSU-005,7,Silicone Utensils,images/p011_07.jpg,2
ESSU-044,9,Silicone Utensils,images/p013_13.jpg,2
ESSU-044,9,Silicone Utensils,images/p014_00.jpg,2
ESTI-144,22,Silicone Tea Infusers,images/p032_23.jpg,3
ESTI-144,23,Silicone Tea Infusers,images/p034_00.jpg,3
ESTI-145,23,Silicone Tea Infusers,images/p034_01.jpg,2
ESTI-144,32,Stainless Steel Tea Infusers,images/p043_05.jpg,3
ESTI-145,32,Stainless Steel Tea Infusers,images/p043_06.jpg,2
ESSM-003,38,Stainless Steel Tea Infusers,images/p056_00.jpg,2
ESSM-004,38,Stainless Steel Tea Infusers,images/p056_01.jpg,2
ESSM-002,38,Stainless Steel Tea Infusers,images/p056_02.jpg,2
ESSM-005,38,Stainless Steel Tea Infusers,images/p057_00.jpg,2
ESSM-006,38,Stainless Steel Tea Infusers,images/p057_01.jpg,2
ESSM-124,39,Stainless Steel Tea Infusers,images/p059_03.jpg,2
ESSM-124,44,Stainless Steel Tea Infusers,images/p077_00.jpg,2
ESSM-169,46,Stainless Steel Tea Infusers,images/p084_07.jpg,2
ESSM-169,46,Stainless Steel Tea Infusers,images/p085_00.jpg,2
ESSM-272,51,Stainless Steel Tea Infusers,images/p099_01.jpg,2
ESSM-273,51,Stainless Steel Tea Infusers,images/p099_02.jpg,2
ESSM-274,51,Stainless Steel Tea Infusers,images/p099_03.jpg,2
ESSM-275,51,Stainless Steel Tea Infusers,images/p099_04.jpg,2
ESSM-276,51,Stainless Steel Tea Infusers,images/p099_05.jpg,2
ESSM-277,51,Stainless Steel Tea Infusers,images/p099_06.jpg,2
ESSM-278,51,Stainless Steel Tea Infusers,images/p099_07.jpg,2
ESSM-272,51,Stainless Steel Tea Infusers,images/p100_00.jpg,2
ESSM-273,51,Stainless Steel Tea Infusers,images/p100_01.jpg,2
ESSM-274,51,Stainless Steel Tea Infusers,images/p100_02.jpg,2
ESSM-275,51,Stainless Steel Tea Infusers,images/p100_03.jpg,2
ESSM-276,52,Stainless Steel Tea Infusers,images/p100_04.jpg,2
ESSM-277,52,Stainless Steel Tea Infusers,images/p100_05.jpg,2
ESSM-278,52,Stainless Steel Tea Infusers,images/p100_06.jpg,2
ESCM-001,54,Collapsible Cake Molds,images/p104_00.jpg,2
ESFM-001,55,Air Fryer Silicone Molds,images/p106_00.jpg,2
ESFM-003,55,Air Fryer Silicone Molds,images/p106_01.jpg,2
ESFM-002,55,Air Fryer Silicone Molds,images/p106_02.jpg,2
ESFM-004,55,Air Fryer Silicone Molds,images/p106_03.jpg,2
ESFM-005,55,Air Fryer Silicone Molds,images/p106_04.jpg,2
ESFM-006,55,Air Fryer Silicone Molds,images/p106_05.jpg,2
ESPM-001,58,Popsicle Molds,images/p112_00.jpg,2
ESPM-002,58,Popsicle Molds,images/p112_01.jpg,2
ESPM-003,58,Popsicle Molds,images/p112_02.jpg,2
ESPM-004,58,Popsicle Molds,images/p112_03.jpg,2
ESPM-005,58,Popsicle Molds,images/p112_05.jpg,2
ESFM-001,63,Silicone Baking Mats,images/p125_00.jpg,2
ESFM-002,63,Silicone Baking Mats,images/p125_01.jpg,2
ESFM-003,63,Silicone Baking Mats,images/p125_02.jpg,2
ESFM-004,63,Silicone Baking Mats,images/p125_03.jpg,2
ESFM-005,63,Silicone Baking Mats,images/p125_04.jpg,2
ESFM-006,63,Silicone Baking Mats,images/p125_05.jpg,2
ESFM-036,64,Silicone Baking Mats,images/p131_01.jpg,2
ESFM-037,64,Silicone Baking Mats,images/p131_02.jpg,2
ESFM-036,64,Silicone Baking Mats,images/p131_03.jpg,2
ESFM-037,64,Silicone Baking Mats,images/p131_04.jpg,2
BA-014,65,Silicone Baking Mats,images/p132_03.jpg,2
BA-017,65,Silicone Baking Mats,images/p132_04.jpg,2
BA-016,65,Silicone Baking Mats,images/p132_05.jpg,2
BA-015,65,Silicone Baking Mats,images/p132_06.jpg,2
BA-018,65,Silicone Baking Mats,images/p132_07.jpg,2
BA-019,65,Silicone Baking Mats,images/p132_08.jpg,2
BA-020,65,Silicone Baking Mats,images/p132_09.jpg,2
BA-021,65,Silicone Baking Mats,images/p132_10.jpg,2
BA-022,65,Silicone Baking Mats,images/p132_11.jpg,2
BA-023,65,Silicone Baking Mats,images/p132_12.jpg,2
BA-024,65,Silicone Baking Mats,images/p132_13.jpg,2
BA-025,65,Silicone Baking Mats,images/p132_14.jpg,2
BA-026,65,Silicone Baking Mats,images/p133_00.jpg,2
BA-027,65,Silicone Baking Mats,images/p133_01.jpg,2
BA-028,65,Silicone Baking Mats,images/p133_02.jpg,2
BA-029,65,Silicone Baking Mats,images/p133_03.jpg,2
BA-030,65,Silicone Baking Mats,images/p133_04.jpg,2
BA-031,66,Silicone Baking Mats,images/p133_05.jpg,2
BA-032,66,Silicone Baking Mats,images/p133_06.jpg,2
BA-033,66,Silicone Baking Mats,images/p133_07.jpg,2
BA-034,66,Silicone Baking Mats,images/p133_08.jpg,2
BA-035,66,Silicone Baking Mats,images/p133_09.jpg,2
BA-036,66,Silicone Baking Mats,images/p133_10.jpg,2
BA-037,66,Silicone Baking Mats,images/p133_11.jpg,2
BA-038,66,Silicone Baking Mats,images/p134_00.jpg,2
BA-039,66,Silicone Baking Mats,images/p134_01.jpg,2
BA-040,66,Silicone Baking Mats,images/p134_02.jpg,2
BA-041,66,Silicone Baking Mats,images/p134_03.jpg,2
BA-042,66,Silicone Baking Mats,images/p134_04.jpg,2
BA-043,66,Silicone Baking Mats,images/p134_05.jpg,2
BA-044,66,Silicone Baking Mats,images/p134_06.jpg,2
BA-045,66,Silicone Baking Mats,images/p134_07.jpg,2
BA-046,66,Silicone Baking Mats,images/p134_08.jpg,2
ESCM-001,66,Silicone Baking Mats,images/p136_00.jpg,2
ESSM-002,66,Silicone Baking Mats,images/p136_01.jpg,2
ESSM-003,66,Silicone Baking Mats,images/p136_02.jpg,2
ESSM-004,66,Silicone Baking Mats,images/p136_03.jpg,2
ESSM-005,67,Silicone Baking Mats,images/p136_04.jpg,2
ESSM-006,67,Silicone Baking Mats,images/p136_05.jpg,2
CK-005,70,Baking Accessories,images/p145_04.jpg,2
CK-005,70,Baking Accessories,images/p145_05.jpg,2
ESCC-011,72,Baking Accessories,images/p149_01.jpg,2
ESCC-026,72,Baking Accessories,images/p150_04.jpg,2
ESCC-011,73,Baking Accessories,images/p151_03.jpg,2
ESCC-026,76,Baking Accessories,images/p159_03.jpg,2
ESMT-111,80,Baking Accessories,images/p172_10.jpg,2
ESMT-109,81,Baking Accessories,images/p176_06.jpg,2
ESMT-110,81,Baking Accessories,images/p176_07.jpg,2
ESMT-109,83,Baking Accessories,images/p182_00.jpg,2
ESMT-110,83,Baking Accessories,images/p182_01.jpg,2
ESMT-111,83,Baking Accessories,images/p182_02.jpg,2
ESCS-015,85,Baking Accessories,images/p187_14.jpg,2
BA-014,96,Cake Decorating Tools,images/p252_03.jpg,2
BA-015,96,Cake Decorating Tools,images/p252_04.jpg,2
BA-016,96,Cake Decorating Tools,images/p252_05.jpg,2
BA-017,96,Cake Decorating Tools,images/p252_06.jpg,2
BA-018,96,Cake Decorating Tools,images/p252_07.jpg,2
BA-019,96,Cake Decorating Tools,images/p253_00.jpg,2
BA-020,96,Cake Decorating Tools,images/p253_01.jpg,2
BA-021,97,Cake Decorating Tools,images/p253_02.jpg,2
BA-022,97,Cake Decorating Tools,images/p253_03.jpg,2
BA-023,97,Cake Decorating Tools,images/p253_04.jpg,2
BA-024,97,Cake Decorating Tools,images/p253_05.jpg,2
BA-025,97,Cake Decorating Tools,images/p253_06.jpg,2
BA-026,97,Cake Decorating Tools,images/p253_07.jpg,2
BA-027,97,Cake Decorating Tools,images/p254_00.jpg,2
BA-028,97,Cake Decorating Tools,images/p254_01.jpg,2
BA-029,97,Cake Decorating Tools,images/p254_02.jpg,2
BA-030,97,Cake Decorating Tools,images/p254_03.jpg,2
BA-031,97,Cake Decorating Tools,images/p254_04.jpg,2
BA-032,97,Cake Decorating Tools,images/p254_05.jpg,2
BA-033,97,Cake Decorating Tools,images/p254_06.jpg,2
BA-034,97,Cake Decorating Tools,images/p254_07.jpg,2
BA-035,97,Cake Decorating Tools,images/p254_08.jpg,2
BA-036,97,Cake Decorating Tools,images/p254_09.jpg,2
BA-037,97,Cake Decorating Tools,images/p254_10.jpg,2
BA-038,97,Cake Decorating Tools,images/p254_11.jpg,2
BA-039,97,Cake Decorating Tools,images/p254_12.jpg,2
BA-040,97,Cake Decorating Tools,images/p254_13.jpg,2
BA-041,98,Cake Decorating Tools,images/p254_14.jpg,2
BA-042,98,Cake Decorating Tools,images/p254_15.jpg,2
BA-043,98,Cake Decorating Tools,images/p254_16.jpg,2
BA-044,98,Cake Decorating Tools,images/p254_17.jpg,2
BA-045,98,Cake Decorating Tools,images/p255_04.jpg,2
BA-046,98,Cake Decorating Tools,images/p255_05.jpg,2
LS-012,99,Cake Decorating Tools,images/p257_11.jpg,2
LS-012,99,Cake Decorating Tools,images/p257_12.jpg,2
ESCO-075,104,Cake Decorating Tools,images/p264_03.jpg,2
ESCO-075,105,Cake Decorating Tools,images/p264_08.jpg,2
ESGP-020,110,Cake Decorating Tools,images/p271_01.jpg,2
ESGP-020,110,Cake Decorating Tools,images/p271_06.jpg,2
ESPC-025,111,Cake Decorating Tools,images/p273_06.jpg,2
ESPC-025,111,Cake Decorating Tools,images/p273_07.jpg,2
ESCS-015,113,Cake Decorating Tools,images/p276_14.jpg,2
ESFP-042,120,Cake Decorating Tools,images/p285_05.jpg,2
ESFP-042,120,Cake Decorating Tools,images/p285_06.jpg,2
ESFP-097,122,Cake Decorating Tools,images/p288_00.jpg,2
ESFP-097,123,Cake Decorating Tools,images/p288_06.jpg,2
ESSC-001,124,Cake Decorating Tools,images/p291_00.jpg,2
ESSC-003,124,Cake Decorating Tools,images/p291_01.jpg,2
ESSC-002,124,Cake Decorating Tools,images/p291_02.jpg,2
ESSC-004,124,Cake Decorating Tools,images/p291_03.jpg,2
ESSC-005,124,Cake Decorating Tools,images/p291_04.jpg,2
ESSC-006,125,Cake Decorating Tools,images/p291_05.jpg,2
ESSC-007,125,Cake Decorating Tools,images/p291_06.jpg,2
ESSC-008,125,Cake Decorating Tools,images/p291_07.jpg,2
ESSC-009,125,Cake Decorating Tools,images/p291_08.jpg,2
ESSC-010,125,Cake Decorating Tools,images/p291_09.jpg,2
ESSC-011,125,Cake Decorating Tools,images/p291_10.jpg,2
ESSC-013,125,Cake Decorating Tools,images/p291_12.jpg,2
ESSC-014,125,Cake Decorating Tools,images/p291_13.jpg,2
ESSC-015,125,Cake Decorating Tools,images/p291_14.jpg,2
ESSC-016,125,Cake Decorating Tools,images/p291_15.jpg,2
ESSC-017,125,Cake Decorating Tools,images/p291_16.jpg,2
ESSC-001,127,Cake Decorating Tools,images/p295_00.jpg,2
ESSC-002,127,Cake Decorating Tools,images/p295_01.jpg,2
ESSC-003,127,Cake Decorating Tools,images/p295_02.jpg,2
ESSC-004,127,Cake Decorating Tools,images/p295_03.jpg,2
ESSC-005,127,Cake Decorating Tools,images/p295_04.jpg,2
ESSC-007,127,Cake Decorating Tools,images/p295_05.jpg,2
ESSC-011,127,Cake Decorating Tools,images/p295_06.jpg,2
ESSC-013,127,Cake Decorating Tools,images/p295_08.jpg,2
ESSC-014,127,Cake Decorating Tools,images/p295_09.jpg,2
ESSC-006,127,Cake Decorating Tools,images/p295_10.jpg,2
ESSC-015,128,Cake Decorating Tools,images/p295_11.jpg,2
ESSC-008,128,Cake Decorating Tools,images/p295_12.jpg,2
ESSC-009,128,Cake Decorating Tools,images/p295_13.jpg,2
ESSC-010,128,Cake Decorating Tools,images/p295_14.jpg,2
ESSC-016,128,Cake Decorating Tools,images/p296_00.jpg,2
ESSC-017,128,Cake Decorating Tools,images/p296_01.jpg,2
ESPM-001,131,Cake Decorating Tools,images/p303_00.jpg,2
ESPM-002,131,Cake Decorating Tools,images/p303_01.jpg,2
ESPM-003,131,Cake Decorating Tools,images/p303_02.jpg,2
ESPM-004,131,Cake Decorating Tools,images/p303_03.jpg,2
ESPM-005,131,Cake Decorating Tools,images/p303_04.jpg,2
